election_cycle,race_type,name_incumbent,name_challenger,name_third,us_state_fips,tipping,vpi,win_state_incumbent,win_state_challenger,win_state_third,win_ec_if_win_state_incumbent,win_ec_if_win_state_challenger,win_state_if_win_ec_incumbent,win_state_if_win_ec_challenger,voteshare_incumbent,voteshare_challenger,voteshare_third,voteshare_other,voteshare_lo_incumbent,voteshare_lo_challenger,voteshare_lo_third,voteshare_lo_other,voteshare_hi_incumbent,voteshare_hi_challenger,voteshare_hi_third,voteshare_hi_other,margin,margin_lo,margin_hi,model,date_modeled,simulation_timestamp,simulation_count
2020,President,Trump,Biden,,16,3.75e-05,0.0070125,0.99365,0.00635,,0.2876516,0.988189,0.9997377,0.0088521,62.7199,34.13066,,3.149437,56.24712,27.88945,,1.640139,69.05228,40.49993,,4.877353,28.58924,15.94307,40.98664,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,29,0.0008125,0.0408253,0.89925,0.10075,,0.317459,0.9955335,0.9985135,0.1414918,54.7336,43.81047,,1.455929,49.22355,38.39441,,0.7754894,60.18608,49.29411,,2.224577,10.92314,-0.0428696,21.75681,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,41,0.0064875,0.4346816,0.082025,0.917975,,0.7555623,0.7505106,0.2167716,0.9718921,41.61614,55.95642,,2.427435,35.02742,49.38265,,1.274424,48.18872,62.55513,,3.741632,-14.34029,-27.44489,-1.273706,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,30,0.001,0.2712816,0.883425,0.116575,,0.3207969,0.9776968,0.9912557,0.1607829,55.07389,42.82112,,2.104993,48.40822,36.29781,,1.109758,61.61642,49.49168,,3.236612,12.25277,-1.012959,25.28124,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,53,0.0012375,0.0498944,0.01215,0.98785,,0.7530864,0.7146075,0.0320042,0.9958385,36.83196,60.8865,,2.281538,30.67465,54.70388,,1.200037,43.01454,67.0632,,3.513015,-24.05454,-36.35975,-11.77693,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,51,0.0118875,0.4009654,0.062925,0.937075,,0.9761621,0.7549289,0.2148478,0.9979545,44.065,54.88935,,1.045649,39.55287,50.37349,,0.5617701,48.57403,59.4015,,1.589237,-10.82436,-19.84526,-1.818966,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,50,0.00025,0.111928,0.008325,0.991675,,0.6306306,0.7117755,0.0183631,0.9957327,31.25597,66.00259,,2.741442,23.25434,57.8942,,1.434023,39.33181,74.04831,,4.235283,-34.74663,-50.71214,-18.60852,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,49,0.000725,0.0841415,0.95175,0.04825,,0.298923,0.9704663,0.9951032,0.0660554,56.93736,39.71102,,3.351619,50.42587,33.3122,,1.74186,63.35349,46.14516,,5.19642,17.22634,4.438274,29.89656,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,48,0.01675,0.250878,0.711825,0.288175,,0.4007305,0.9977444,0.9977265,0.4056075,51.62235,47.36121,,1.016442,46.64724,42.36645,,0.5464662,56.62445,52.34771,,1.544168,4.261142,-5.678955,14.25537,1,2020-09-06,21:06:02  6 Sep 2020,40000
2020,President,Trump,Biden,,47,0.0005875,0.0316997,0.955325,0.044675,,0.2982231,0.9776161,0.9965023,0.0616117,57.76309,41.13367,,1.103243,51.6719,35.11982,,0.5918775,63.79124,47.20708,,1.678211,16.62943,4.472692,28.64562,1,2020-09-06,21:06:02  6 Sep 2020,40000
