cycle,branch,model,modeldate,candidate_inc,candidate_chal,candidate_3rd,state,tipping,vpi,winstate_inc,winstate_chal,winstate_3rd,voteshare_inc,voteshare_chal,voteshare_3rd,voteshare_other,voteshare_inc_hi,voteshare_chal_hi,voteshare_3rd_hi,voteshare_other_hi,voteshare_inc_lo,voteshare_chal_lo,voteshare_3rd_lo,voteshare_other_lo,margin,margin_hi,margin_lo,win_EC_if_win_state_inc,win_EC_if_win_state_chal,win_state_if_win_EC_inc,win_state_if_win_EC_chal,timestamp,simulations
2020,President,polls-plus,8/21/2020,Trump,Biden,,NE-2,0.0079375,3.750693,0.44345,0.55655,,48.74154,49.97184,,1.286619,54.32884,55.56918,,2.000743,43.15961,44.3688,,0.6545461,-1.230301,9.908733,-12.38737,0.5612245,0.9628964,0.9282051,0.7356464,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,NE-1,7.5E-05,0.0361427,0.943975,0.056025,,56.31007,41.96791,,1.722016,61.95487,47.63626,,2.688197,50.63027,36.34167,,0.8700656,14.34215,25.55718,3.046076,0.2836145,0.9928603,0.9985082,0.0763581,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Montana,0.0009,0.2480078,0.8804,0.1196,,55.22476,42.79055,,1.984699,62.01754,49.63485,,3.104498,48.39504,36.0197,,0.9993263,12.43421,25.94256,-1.163092,0.302107,0.9816054,0.9919813,0.1611586,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Missouri,0.001125,0.0559955,0.874025,0.125975,,54.28431,44.30916,,1.406528,59.88917,49.93374,,2.189837,48.64307,38.7348,,0.7141542,9.975147,21.13127,-1.253149,0.3061697,0.9958325,0.998042,0.1722091,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Mississippi,0.002625,0.3098991,0.885375,0.114625,,55.95572,43.29297,,0.7513107,62.6995,50.11613,,1.160096,49.14125,36.54679,,0.3863998,12.66275,26.11847,-0.9666653,0.2962022,0.9470011,0.9780886,0.1490099,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Minnesota,0.0942,4.374388,0.2743,0.7257,,46.93699,51.64849,,1.414523,52.01549,56.72844,,2.202483,41.8369,46.5562,,0.7181183,-4.711509,5.401812,-14.86899,0.7827197,0.9236599,0.8007459,0.9201414,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Michigan,0.0793875,2.243591,0.17875,0.82125,,45.95225,52.94912,,1.098626,50.88181,57.89255,,1.704548,41.02036,47.98423,,0.5606805,-6.996871,2.88533,-16.83917,0.9482517,0.8761948,0.6321678,0.9877827,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Massachusetts,0.000425,0.0185113,0.0038,0.9962,,33.8765,64.48096,,1.642541,40.346,70.93213,,2.562575,27.4436,57.96883,,0.8308866,-30.60445,-17.64745,-43.47925,0.7960526,0.7304758,0.0112821,0.9989361,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Maryland,0.00025,0.0122207,0.002175,0.997825,,35.61658,63.04829,,1.335125,40.80598,68.23715,,2.07716,30.4232,57.8336,,0.6786983,-27.43171,-17.06099,-37.78819,0.7471265,0.7295117,0.0060606,0.999245,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Maine,0.0029375,0.5498104,0.211925,0.788075,,45.0298,53.44256,,1.527634,51.92744,60.37301,,2.382149,38.10946,46.56336,,0.7736832,-8.412757,5.305937,-22.23604,0.7319807,0.8528693,0.5785547,0.9226466,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,ME-2,0.00345,1.367211,0.634125,0.365875,,50.97771,47.31565,,1.70664,58.06002,54.49322,,2.663883,43.84034,40.22609,,0.8624895,3.66206,17.81589,-10.6097,0.4017347,0.9620772,0.9501166,0.4832012,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,ME-1,0.0002875,0.1034705,0.050575,0.949425,,39.66602,58.96778,,1.366194,47.07529,66.34891,,2.126117,32.28494,51.57749,,0.6941429,-19.30176,-4.562658,-34.05866,0.8195749,0.7578271,0.1545921,0.9876797,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Louisiana,0.001525,0.1081848,0.9216,0.0784,,57.21504,41.95506,,0.8298985,64.01201,48.79777,,1.282998,50.39042,35.16784,,0.4259771,15.25998,28.81724,1.59593,0.287679,0.9607781,0.9888112,0.1034009,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Kentucky,0.000175,0.0128025,0.9744,0.0256,,59.37772,39.45241,,1.16987,65.54247,45.64104,,1.816739,53.21397,33.31725,,0.5962963,19.92531,32.19414,7.589342,0.2749641,0.9921875,0.9992541,0.0348674,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Kansas,8.75E-05,0.0111753,0.92475,0.07525,,55.24586,42.90526,,1.848878,60.74197,48.40788,,2.889076,49.74513,37.39492,,0.9325593,12.3406,23.28206,1.39291,0.289754,0.9976744,0.9993473,0.1030578,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Iowa,0.002675,0.2422557,0.681725,0.318275,,51.36715,47.27929,,1.35356,57.01109,52.96391,,2.106192,45.68256,41.65749,,0.6878641,4.087852,15.31898,-7.225206,0.392497,0.9982719,0.9979487,0.4361508,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Indiana,0.0001875,0.0093409,0.94825,0.05175,,56.20109,42.44254,,1.356373,61.54225,47.74746,,2.110624,50.89365,37.11586,,0.6892618,13.75855,24.38246,3.178606,0.282705,0.9990338,0.9998135,0.0709702,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Illinois,0.0003625,0.0091987,0.005675,0.994325,,38.78136,59.7386,,1.480034,43.76751,64.70137,,2.305892,33.85538,54.7199,,0.7505733,-20.95724,-11.00715,-30.81177,0.9779736,0.732507,0.0206993,0.9998284,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Idaho,2.5E-05,0.0053473,0.993675,0.006325,,62.77245,34.23446,,2.993085,69.26825,40.76507,,4.710069,56.16958,27.80624,,1.490684,28.53799,41.34241,15.53292,0.2697562,0.9881423,0.9997203,0.0085796,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Hawaii,0.0004375,0.1456705,0.01305,0.98695,,32.42149,65.79155,,1.786954,40.89755,74.11601,,2.790959,24.0868,57.28076,,0.9020805,-33.37006,-16.40957,-50.0083,0.5555556,0.7322306,0.0270396,0.9920382,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Georgia,0.012475,0.4125568,0.668275,0.331725,,51.0938,48.07843,,0.8277637,55.57193,52.5621,,1.279653,46.6114,43.61124,,0.4249032,3.015371,11.94609,-5.941925,0.3975908,0.9922376,0.9909557,0.4518343,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Florida,0.22675,3.168735,0.343,0.657,,48.03296,51.1997,,0.7673385,53.14943,56.34656,,1.185139,42.89767,46.07501,,0.3944795,-3.166742,7.053904,-13.41819,0.7266035,0.970548,0.9295105,0.8753217,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,District of Columbia,0,0,0,1,,5.683014,90.88918,,3.427813,8.443816,94.07064,,5.405491,3.068968,87.44807,,1.700547,-85.20616,-79.39584,-90.7319,,0.728475,0,1,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Delaware,6.25E-05,0.0197718,0.001725,0.998275,,37.79594,61.08096,,1.123101,42.47633,65.70917,,1.743113,33.18182,56.38552,,0.5729223,-23.28502,-13.91481,-32.50995,0.9710145,0.7296837,0.0062471,0.9999313,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Connecticut,0.00065,0.0555735,0.01895,0.98105,,40.10564,58.98013,,0.9142346,45.74194,64.59496,,1.415189,34.46865,53.35184,,0.4683735,-18.87448,-7.639217,-30.11007,0.9406332,0.7413995,0.0664802,0.9984557,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Colorado,0.0208,1.008577,0.135475,0.864525,,44.3132,53.88034,,1.806456,49.94086,59.52918,,2.821841,38.67261,48.25288,,0.9116883,-9.567142,1.635866,-20.83755,0.8713785,0.8228218,0.4402797,0.976492,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,California,0.0018875,0.0184941,0.002675,0.997325,,33.81749,64.25877,,1.923738,39.64928,70.0864,,3.007782,28.02853,58.39046,,0.9693666,-30.44129,-18.82067,-42.01554,0.6261683,0.7294262,0.0062471,0.9986272,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Arkansas,0.0004125,0.0493104,0.928125,0.071875,,56.59017,41.81963,,1.590205,62.9114,48.19609,,2.479952,50.21569,35.51145,,0.8050488,14.77054,27.35026,2.034266,0.2880539,0.9892174,0.9971095,0.0976012,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Arizona,0.0511375,2.591002,0.439075,0.560925,,48.69078,50.03186,,1.277359,54.44508,55.8054,,1.986143,42.9211,44.2706,,0.6499312,-1.341076,10.15602,-12.87211,0.5548596,0.9543166,0.9086247,0.7348228,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Alaska,0.0016625,0.7378254,0.81445,0.18555,,53.60108,44.20062,,2.198299,60.48979,51.14307,,3.443467,46.67899,37.32896,,1.104009,9.400452,23.09634,-4.40641,0.3223341,0.9694152,0.9791142,0.2469199,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/21/2020,Trump,Biden,,Alabama,0.000375,0.0248098,0.978525,0.021475,,59.92599,39.2993,,0.7747051,65.87527,45.24675,,1.196651,53.97467,33.3675,,0.3981917,20.62669,32.49422,8.730633,0.273294,0.9674039,0.9973893,0.0285185,09:33:03 21 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,,Wyoming,1.25E-05,0.0057612,0.9983,0.0017,,68.69599,28.03325,,3.270759,75.48254,34.77545,,5.153463,61.85783,21.39279,,1.637739,40.66274,53.95741,27.28471,0.2740409,0.9558824,0.9997259,0.0022481,19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,,Wisconsin,0.1044125,4.873816,0.276,0.724,,47.07746,51.94683,,0.9757123,52.39993,57.27007,,1.511537,41.7594,46.6018,,0.5030506,-4.869365,5.782881,-15.51327,0.8305253,0.9353591,0.8376576,0.9368796,19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,,West Virginia,0,0,0.992225,0.007775,,65.99477,32.20467,,1.800567,73.59502,39.87876,,2.812463,58.29239,24.6675,,0.9158446,33.7901,48.86191,18.50775,0.2755675,0.9710611,0.9991778,0.0104451,19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,,Washington,0.0013625,0.0544737,0.010875,0.989125,,36.73236,61.07941,,2.188235,43.01397,67.26897,,3.427469,30.55556,54.73525,,1.1076,-24.34705,-11.81433,-36.64622,0.7724138,0.7282699,0.0306961,0.996576,19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,,Virginia,0.01565,0.522884,0.0715,0.9285,,44.11911,54.87433,,1.006552,48.78446,59.5166,,1.55997,39.50648,50.1938,,0.518608,-10.75522,-1.449837,-20.00145,0.9776224,0.7768174,0.2554358,0.9978557,19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,,Vermont,0.0002,0.0867599,0.006875,0.993125,,31.2247,66.17101,,2.604299,39.32535,74.11835,,4.08991,23.29069,58.03051,,1.312266,-34.94631,-18.77485,-50.78911,0.6690909,0.7255381,0.0168098,0.9968526,19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,,Utah,0.0005,0.0564975,0.949,0.051,,56.96915,39.78859,,3.242255,63.55907,46.30103,,5.107854,50.33789,33.28016,,1.623873,17.18056,30.09605,4.167616,0.2869599,0.9740196,0.9951581,0.0687234,19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,,Texas,0.0074,0.1106149,0.742125,0.257875,,52.05555,46.94074,,1.003707,57.17513,52.07671,,1.555497,46.90915,41.81849,,0.5171733,5.114805,15.34463,-5.161129,0.3683342,0.9988366,0.9989037,0.3563449,19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,,Tennessee,0.000775,0.0426539,0.948975,0.051025,,57.68515,41.23875,,1.07611,63.82026,47.44769,,1.669238,51.48749,35.12627,,0.5536515,16.4464,28.68493,4.026184,0.2876525,0.9867712,0.9975333,0.0696573,19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,,South Dakota,0.0001625,0.0594959,0.961025,0.038975,,59.73003,38.83572,,1.434252,66.95142,46.06234,,2.233338,52.48746,31.67467,,0.7333013,20.89431,35.26484,6.437227,0.2839676,0.9807569,0.9972593,0.0528828,19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,,South Carolina,0.00115,0.0751725,0.8758,0.1242,,54.00351,45.11746,,0.8790311,58.93288,50.05823,,1.359848,49.05986,40.18925,,0.4541833,8.886056,18.74303,-1.00036,0.3116865,0.9945652,0.9975333,0.170892,19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,,Rhode Island,0.0002625,0.0812618,0.01635,0.98365,,37.56309,61.05071,,1.386199,44.30422,67.67664,,2.157507,30.94222,54.32636,,0.7092596,-23.48763,-10.06801,-36.71896,0.9296636,0.7336705,0.0555454,0.998409,19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,,Pennsylvania,0.2242,5.074606,0.257775,0.742225,,47.25867,52.02639,,0.7149444,52.03824,56.78961,,1.103034,42.49807,47.26527,,0.3709315,-4.767721,4.75008,-14.29072,0.8932208,0.9378558,0.8414032,0.963027,19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,,Oregon,0.0067125,0.4491535,0.08235,0.91765,,41.56864,56.13416,,2.2972,48.25111,62.75307,,3.600797,34.96059,49.4289,,1.161373,-14.56552,-1.250547,-27.72621,0.767456,0.7669863,0.2309519,0.9737142,19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,,Oklahoma,6.25E-05,0.0062361,0.992325,0.007675,,63.36311,35.46624,,1.170642,69.51297,41.68613,,1.817728,57.13165,29.34243,,0.601182,27.89687,40.12,15.47962,0.275565,0.9739414,0.9992691,0.0103414,19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,,Ohio,0.0295,0.7383429,0.543475,0.456525,,49.91155,49.04582,,1.042626,55.08311,54.22751,,1.616668,44.74476,43.89526,,0.5367899,0.8657323,11.15026,-9.471455,0.500713,0.9966596,0.9944272,0.6294746,19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,,North Dakota,5E-05,0.019275,0.985475,0.014525,,60.95077,36.4303,,2.618928,67.54895,42.98964,,4.113269,54.3576,29.92325,,1.319438,24.52047,37.51722,11.47909,0.2773536,0.9776248,0.9988124,0.0196451,19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,,North Carolina,0.0379625,1.078278,0.510125,0.489875,,49.71269,49.52964,,0.7576767,54.67802,54.48668,,1.169884,44.73641,44.55346,,0.3926575,0.1830504,10.13535,-9.750429,0.5211958,0.9836183,0.9715878,0.6666206,19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,,New York,0.0007,0.0125013,0.00275,0.99725,,36.9183,62.01247,,1.069231,42.13886,67.18167,,1.658441,31.75317,56.7709,,0.5501885,-25.09416,-14.66155,-35.40314,0.8636364,0.7244422,0.008679,0.9994812,19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,,New Mexico,0.00895,1.550763,0.0871,0.9129,,43.02056,55.21675,,1.762689,48.75172,60.9757,,2.75247,37.27227,49.42746,,0.8970448,-12.19619,-0.7323875,-23.67758,0.9061424,0.7829444,0.2884158,0.9888285,19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,,New Jersey,0.0073875,0.2695801,0.040525,0.959475,,40.587,58.55791,,0.8550891,46.9467,64.9345,,1.32233,34.20907,52.21893,,0.442063,-17.97092,-5.287334,-30.70893,0.7655768,0.7434534,0.1133747,0.9868571,19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,,New Hampshire,0.0131,2.43245,0.27985,0.72015,,46.30959,52.68394,,1.006476,53.43097,59.80297,,1.559849,39.22109,45.55842,,0.5185693,-6.37435,7.82918,-20.58479,0.7339646,0.9013747,0.7505938,0.8980389,19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,,Nevada,0.0266375,3.102858,0.214675,0.785325,,45.89554,52.42857,,1.675896,51.28809,57.78727,,2.615046,40.56944,47.01987,,0.8538624,-6.533025,4.243631,-17.13702,0.8554792,0.881514,0.6711127,0.9577353,19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,,Nebraska,0,0,0.98475,0.01525,,58.94277,39.31619,,1.741038,64.40283,44.7228,,2.71858,53.51948,33.87196,,0.8865066,19.62658,30.49806,8.858105,0.2778878,1,1,0.0210978,19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,,NE-3,0,0,0.99965,0.00035,,72.69379,25.04911,,2.257107,78.9743,31.30238,,3.537037,66.38902,18.83988,,1.141608,47.64468,60.05866,35.13658,0.2737458,1,1,0.0004842,19:00:04 20 Aug 2020,40000
2020,President,polls-plus,8/20/2020,Trump,Biden,,NE-2,0.0077875,3.682188,0.442325,0.557675,,48.75577,49.95934,,1.284894,54.44855,55.62218,,1.997704,43.08521,44.24583,,0.6585237,-1.203563,10.15007,-12.52235,0.5721472,0.960685,0.9248127,0.7411891,19:00:04 20 Aug 2020,40000
