election_cycle,race_type,name_incumbent,name_challenger,name_third,indicator_name,indicator_category,zscore_current,zscore_projected,zscore_projected_lo,zscore_projected_hi,model,date_modeled,simulation_timestamp,simulation_count
2020,President,Trump,Biden,,Industrial production,2,-2.057216,-1.59357,-0.9158938,-2.271246,1,2020-09-12,19:00:04 12 Sep 2020,40000
2020,President,Trump,Biden,,Nonfarm payrolls,3,-3.260423,-2.652668,-1.974992,-3.330344,1,2020-09-12,19:00:04 12 Sep 2020,40000
2020,President,Trump,Biden,,Consumer price index,4,0.6458718,0.7190356,1.396711,0.0413596,1,2020-09-12,19:00:04 12 Sep 2020,40000
2020,President,Trump,Biden,,Real disposable personal income,5,2.891383,2.724808,3.402483,2.047132,1,2020-09-12,19:00:04 12 Sep 2020,40000
2020,President,Trump,Biden,,Average of all six indicators,6,-0.499685,-0.2488059,0.2303833,-0.7279952,1,2020-09-12,19:00:04 12 Sep 2020,40000
2020,President,Trump,Biden,,S&P 500,0,0.7613009,0.6596586,1.342738,-0.0234205,1,2020-09-11,19:00:03 11 Sep 2020,40000
2020,President,Trump,Biden,,Personal consumption expenditures,1,-1.979027,-1.340327,-0.6572475,-2.023406,1,2020-09-11,19:00:03 11 Sep 2020,40000
2020,President,Trump,Biden,,Industrial production,2,-2.057216,-1.584688,-0.9016092,-2.267767,1,2020-09-11,19:00:03 11 Sep 2020,40000
2020,President,Trump,Biden,,Nonfarm payrolls,3,-3.260423,-2.640823,-1.957744,-3.323902,1,2020-09-11,19:00:03 11 Sep 2020,40000
2020,President,Trump,Biden,,Consumer price index,4,0.6458718,0.7204695,1.403549,0.0373904,1,2020-09-11,19:00:03 11 Sep 2020,40000
2020,President,Trump,Biden,,Real disposable personal income,5,2.891383,2.721056,3.404135,2.037977,1,2020-09-11,19:00:03 11 Sep 2020,40000
2020,President,Trump,Biden,,Average of all six indicators,6,-0.499685,-0.244109,0.2389008,-0.7271189,1,2020-09-11,19:00:03 11 Sep 2020,40000
2020,President,Trump,Biden,,S&P 500,0,0.761175,0.6579434,1.346558,-0.0306709,1,2020-09-10,21:47:02 10 Sep 2020,40000
2020,President,Trump,Biden,,Personal consumption expenditures,1,-1.979027,-1.328492,-0.6398779,-2.017107,1,2020-09-10,21:47:02 10 Sep 2020,40000
2020,President,Trump,Biden,,Industrial production,2,-2.057216,-1.575766,-0.8871521,-2.264381,1,2020-09-10,21:47:02 10 Sep 2020,40000
2020,President,Trump,Biden,,Nonfarm payrolls,3,-3.260423,-2.628957,-1.940343,-3.317571,1,2020-09-10,21:47:02 10 Sep 2020,40000
2020,President,Trump,Biden,,Consumer price index,4,0.6458718,0.7219034,1.410518,0.0332891,1,2020-09-10,21:47:02 10 Sep 2020,40000
2020,President,Trump,Biden,,Real disposable personal income,5,2.891383,2.717309,3.405923,2.028695,1,2020-09-10,21:47:02 10 Sep 2020,40000
2020,President,Trump,Biden,,Average of all six indicators,6,-0.499706,-0.2393433,0.2475805,-0.7262672,1,2020-09-10,21:47:02 10 Sep 2020,40000
2020,President,Trump,Biden,,S&P 500,0,0.8904973,0.7810007,1.474848,0.0871536,1,2020-09-09,23:52:03  9 Sep 2020,40000
2020,President,Trump,Biden,,Personal consumption expenditures,1,-1.979027,-1.242283,-0.5484359,-1.93613,1,2020-09-09,23:52:03  9 Sep 2020,40000
2020,President,Trump,Biden,,Industrial production,2,-2.057216,-1.50264,-0.8087934,-2.196488,1,2020-09-09,23:52:03  9 Sep 2020,40000
2020,President,Trump,Biden,,Nonfarm payrolls,3,-3.260423,-2.572025,-1.878178,-3.265872,1,2020-09-09,23:52:03  9 Sep 2020,40000
2020,President,Trump,Biden,,Consumer price index,4,0.6458718,0.7455913,1.439438,0.0517442,1,2020-09-09,23:52:03  9 Sep 2020,40000
2020,President,Trump,Biden,,Real disposable personal income,5,2.891383,2.74712,3.440968,2.053273,1,2020-09-09,23:52:03  9 Sep 2020,40000
2020,President,Trump,Biden,,Average of all six indicators,6,-0.4781523,-0.1738726,0.3167514,-0.6644967,1,2020-09-09,23:52:03  9 Sep 2020,40000
2020,President,Trump,Biden,,S&P 500,0,0.7502039,0.6444213,1.343477,-0.0546341,1,2020-09-08,22:02:02  8 Sep 2020,40000
2020,President,Trump,Biden,,Personal consumption expenditures,1,-1.979027,-1.249461,-0.5504056,-1.948516,1,2020-09-08,22:02:02  8 Sep 2020,40000
2020,President,Trump,Biden,,Industrial production,2,-2.057216,-1.515569,-0.816514,-2.214625,1,2020-09-08,22:02:02  8 Sep 2020,40000
2020,President,Trump,Biden,,Nonfarm payrolls,3,-3.260423,-2.571716,-1.87266,-3.270771,1,2020-09-08,22:02:02  8 Sep 2020,40000
2020,President,Trump,Biden,,Consumer price index,4,0.6458718,0.7473833,1.446439,0.0483279,1,2020-09-08,22:02:02  8 Sep 2020,40000
2020,President,Trump,Biden,,Real disposable personal income,5,2.891383,2.741219,3.440274,2.042163,1,2020-09-08,22:02:02  8 Sep 2020,40000
2020,President,Trump,Biden,,Average of all six indicators,6,-0.5015345,-0.2006206,0.2936863,-0.6949274,1,2020-09-08,22:02:02  8 Sep 2020,40000
2020,President,Trump,Biden,,S&P 500,0,0.9536672,0.838543,1.542695,0.1343913,1,2020-09-07,21:01:02  7 Sep 2020,40000
2020,President,Trump,Biden,,Personal consumption expenditures,1,-1.979027,-1.206751,-0.5025998,-1.910903,1,2020-09-07,21:01:02  7 Sep 2020,40000
2020,President,Trump,Biden,,Industrial production,2,-2.057216,-1.472049,-0.7678977,-2.176201,1,2020-09-07,21:01:02  7 Sep 2020,40000
2020,President,Trump,Biden,,Nonfarm payrolls,3,-3.260423,-2.541028,-1.836877,-3.24518,1,2020-09-07,21:01:02  7 Sep 2020,40000
2020,President,Trump,Biden,,Consumer price index,4,0.6458718,0.7491753,1.453327,0.0450235,1,2020-09-07,21:01:02  7 Sep 2020,40000
2020,President,Trump,Biden,,Real disposable personal income,5,2.891383,2.742059,3.446211,2.037907,1,2020-09-07,21:01:02  7 Sep 2020,40000
